logger_id,hw_version,sw_version,measurement_number,timestamp,rc_temperature,mag_x,mag_y,mag_z
6.227.55.193,64,12,22,2024-03-12T09:45:44.795Z,0.74,0.36,0.03,0.53
32.94.39.151,42,67,23,2024-03-11T09:45:44.795Z,0.71,0.15,0.87,0.83
13.248.94.78,51,12,24,2024-03-10T09:45:44.795Z,0.82,0.97,0.63,0.60
19.188.91.108,99,61,25,2024-03-09T09:45:44.795Z,0.63,0.82,0.37,0.59
2.197.232.44,24,94,26,2024-03-08T09:45:44.795Z,0.78,0.32,0.46,0.81
147.141.86.246,86,3,27,2024-03-07T09:45:44.795Z,0.40,0.17,0.00,0.58
152.105.153.190,23,99,28,2024-03-06T09:45:44.795Z,0.66,0.08,0.83,0.41
123.146.234.160,40,51,29,2024-03-05T09:45:44.795Z,0.58,0.75,0.01,0.52
234.228.32.255,37,41,30,2024-03-04T09:45:44.795Z,0.50,0.68,0.48,0.32
128.69.51.116,25,60,31,2024-03-03T09:45:44.795Z,0.04,0.16,0.34,0.80
20.60.218.69,1,36,32,2024-03-02T09:45:44.795Z,0.18,0.22,0.51,0.18
131.49.134.99,28,82,33,2024-03-01T09:45:44.795Z,0.65,0.46,0.81,0.55
164.218.147.198,25,41,34,2024-02-29T09:45:44.795Z,0.87,0.57,0.89,0.02
251.56.78.195,26,76,35,2024-02-28T09:45:44.795Z,0.17,0.14,0.35,0.29
173.152.24.118,10,90,36,2024-02-27T09:45:44.795Z,0.52,0.83,0.41,0.35
6.227.55.193,99,86,37,2024-02-26T09:45:44.795Z,0.84,0.10,0.32,0.96
98.210.78.214,1,53,38,2024-02-25T09:45:44.795Z,0.79,0.82,0.06,0.22
19.188.91.108,31,30,39,2024-02-24T09:45:44.795Z,0.22,0.34,0.07,0.90
15.192.123.244,26,38,40,2024-02-23T09:45:44.795Z,0.09,0.16,0.23,0.87
32.94.39.151,92,12,41,2024-02-22T09:45:44.795Z,0.09,0.84,0.61,0.40
238.22.198.167,53,40,42,2024-02-21T09:45:44.795Z,0.95,0.68,0.06,0.43
147.141.86.246,72,17,43,2024-02-20T09:45:44.795Z,0.31,0.11,0.94,0.90
15.192.123.244,37,97,44,2024-02-19T09:45:44.795Z,0.13,0.91,0.52,0.66
62.221.0.43,45,62,45,2024-02-18T09:45:44.795Z,0.22,0.29,0.79,0.56
183.215.195.124,95,46,46,2024-02-17T09:45:44.795Z,0.86,0.02,0.71,0.18
74.156.128.157,53,3,47,2024-02-16T09:45:44.795Z,0.78,0.89,0.01,0.09
195.245.185.229,26,33,48,2024-02-15T09:45:44.795Z,0.34,0.21,0.29,0.71
14.207.162.79,30,92,49,2024-02-14T09:45:44.795Z,0.23,0.59,0.09,0.72
179.75.85.18,35,1,50,2024-02-13T09:45:44.795Z,0.83,0.69,0.64,0.59
128.168.216.93,97,73,51,2024-02-12T09:45:44.795Z,0.85,0.87,0.97,0.22
249.113.7.153,29,67,52,2024-02-11T09:45:44.795Z,0.19,0.38,0.92,0.75
6.140.27.40,15,76,53,2024-02-10T09:45:44.795Z,0.83,0.01,0.54,0.33
131.49.134.99,84,90,54,2024-02-09T09:45:44.795Z,0.87,0.18,0.01,0.83
46.143.177.229,54,71,55,2024-02-08T09:45:44.795Z,0.93,0.86,0.52,0.91
142.91.83.61,57,89,56,2024-02-07T09:45:44.795Z,0.56,0.60,0.38,0.62
3.49.223.141,18,98,57,2024-02-06T09:45:44.795Z,0.40,0.91,0.08,0.18
69.53.100.11,10,37,58,2024-02-05T09:45:44.795Z,0.97,0.76,0.71,0.63
152.105.153.190,43,81,59,2024-02-04T09:45:44.795Z,0.77,0.95,0.94,0.56
227.70.186.165,22,27,60,2024-02-03T09:45:44.795Z,0.93,0.50,0.13,0.19
146.143.200.41,6,26,61,2024-02-02T09:45:44.795Z,0.09,0.26,0.66,0.77
201.2.155.78,32,26,62,2024-02-01T09:45:44.795Z,0.10,0.99,0.79,0.23
74.156.128.157,81,57,63,2024-01-31T09:45:44.795Z,0.23,0.58,0.51,0.21
63.41.211.179,55,43,64,2024-01-30T09:45:44.795Z,0.16,0.78,0.11,0.87
2.197.232.44,77,69,65,2024-01-29T09:45:44.795Z,0.69,0.24,0.81,0.12
63.41.211.179,18,52,66,2024-01-28T09:45:44.795Z,0.73,0.58,0.90,0.01
6.227.55.193,84,76,67,2024-01-27T09:45:44.795Z,0.89,0.55,0.06,0.14
20.60.218.69,24,51,68,2024-01-26T09:45:44.795Z,0.38,0.14,0.07,0.94
108.29.11.54,80,77,69,2024-01-25T09:45:44.795Z,0.97,0.53,0.73,0.23
211.28.18.54,51,13,70,2024-01-24T09:45:44.795Z,0.20,0.90,0.94,0.93
6.227.55.193,99,42,71,2024-01-23T09:45:44.795Z,0.42,0.03,0.28,0.90
167.8.102.41,35,62,72,2024-01-22T09:45:44.795Z,0.31,0.57,0.97,0.40
38.62.124.65,7,97,73,2024-01-21T09:45:44.795Z,0.66,0.27,0.34,0.57
184.0.155.18,21,85,74,2024-01-20T09:45:44.795Z,0.32,0.69,0.40,0.40
20.188.119.58,49,56,75,2024-01-19T09:45:44.795Z,0.81,0.15,0.80,0.08
45.190.85.150,8,56,76,2024-01-18T09:45:44.795Z,0.33,0.61,0.92,0.79
195.245.185.229,93,52,77,2024-01-17T09:45:44.795Z,0.30,0.43,0.90,0.98
183.215.195.124,81,76,78,2024-01-16T09:45:44.795Z,0.17,0.41,0.36,0.43
89.227.13.82,44,61,79,2024-01-15T09:45:44.795Z,0.49,0.26,0.23,0.41
98.210.78.214,16,59,80,2024-01-14T09:45:44.795Z,0.24,0.17,0.09,0.10
109.66.22.49,60,46,81,2024-01-13T09:45:44.795Z,0.43,0.10,0.56,0.32
223.206.84.5,14,77,82,2024-01-12T09:45:44.795Z,0.87,0.02,0.47,0.38
143.62.57.8,70,76,83,2024-01-11T09:45:44.795Z,0.81,0.83,0.97,0.19
249.113.7.153,39,3,84,2024-01-10T09:45:44.795Z,0.93,0.97,0.22,0.81
15.192.123.244,91,59,85,2024-01-09T09:45:44.795Z,0.31,0.25,0.81,0.79
79.222.124.27,22,93,86,2024-01-08T09:45:44.795Z,0.04,0.95,0.50,1.00
45.190.85.150,96,74,87,2024-01-07T09:45:44.795Z,0.62,0.32,0.83,0.84
19.188.91.108,40,12,88,2024-01-06T09:45:44.795Z,0.08,0.55,0.14,0.70
147.141.86.246,85,68,89,2024-01-05T09:45:44.795Z,0.30,0.71,0.60,0.18
179.75.85.18,39,29,90,2024-01-04T09:45:44.795Z,0.81,0.27,0.38,0.35
238.234.36.127,55,96,91,2024-01-03T09:45:44.795Z,0.71,0.05,0.87,0.87
53.232.76.62,77,56,92,2024-01-02T09:45:44.795Z,0.96,0.48,0.33,0.79
64.93.160.244,56,66,93,2024-01-01T09:45:44.795Z,0.64,0.47,0.48,0.52
2.197.232.44,63,74,94,2023-12-31T09:45:44.795Z,0.21,0.04,0.52,0.12
14.207.162.79,31,91,95,2023-12-30T09:45:44.795Z,0.34,0.09,0.92,0.54
37.106.25.145,0,79,96,2023-12-29T09:45:44.795Z,0.08,0.93,0.43,0.71
128.69.51.116,85,29,97,2023-12-28T09:45:44.795Z,0.25,0.97,0.43,0.45
229.146.54.0,36,68,98,2023-12-27T09:45:44.795Z,0.82,0.52,0.90,0.53
20.60.218.69,46,63,99,2023-12-26T09:45:44.795Z,0.50,0.52,0.98,0.51
24.16.66.64,42,79,100,2023-12-25T09:45:44.795Z,0.22,0.19,0.26,0.67
152.105.153.190,47,1,101,2023-12-24T09:45:44.795Z,0.08,0.58,0.57,0.35
37.106.25.145,16,53,102,2023-12-23T09:45:44.795Z,0.96,0.98,0.48,0.96
138.124.233.7,16,61,103,2023-12-22T09:45:44.795Z,0.68,0.79,0.57,0.81
7.156.108.186,79,51,104,2023-12-21T09:45:44.795Z,0.89,0.40,0.77,0.36
141.149.26.183,67,92,105,2023-12-20T09:45:44.795Z,0.97,0.53,0.07,0.05
24.16.66.64,26,35,106,2023-12-19T09:45:44.795Z,0.16,0.00,0.19,0.60
164.218.147.198,92,44,107,2023-12-18T09:45:44.795Z,0.00,0.28,0.93,0.38
6.227.55.193,98,48,108,2023-12-17T09:45:44.795Z,0.74,0.78,0.12,0.86
152.105.153.190,29,84,109,2023-12-16T09:45:44.795Z,0.43,0.36,0.33,0.15
121.20.106.23,29,33,110,2023-12-15T09:45:44.795Z,0.86,0.41,0.74,0.04
20.60.218.69,91,53,111,2023-12-14T09:45:44.795Z,0.46,0.35,0.23,0.55
142.91.83.61,72,15,112,2023-12-13T09:45:44.795Z,0.02,0.86,0.15,0.91
146.143.200.41,47,82,113,2023-12-12T09:45:44.795Z,0.51,0.47,0.16,0.79
19.188.91.108,39,14,114,2023-12-11T09:45:44.795Z,0.34,0.91,0.69,0.25
142.91.83.61,13,33,115,2023-12-10T09:45:44.795Z,0.51,0.45,0.42,0.37
38.62.124.65,22,92,116,2023-12-09T09:45:44.795Z,0.27,0.41,0.19,0.82
13.248.94.78,1,59,117,2023-12-08T09:45:44.795Z,0.84,0.42,0.17,0.48
32.94.39.151,19,57,118,2023-12-07T09:45:44.795Z,0.07,0.14,0.60,0.97
24.16.66.64,46,39,119,2023-12-06T09:45:44.795Z,0.74,0.30,0.48,0.68
38.78.188.207,50,94,120,2023-12-05T09:45:44.795Z,0.67,0.18,0.87,0.33
19.188.91.108,41,28,121,2023-12-04T09:45:44.795Z,0.42,0.68,0.25,0.93
46.192.108.207,97,86,122,2023-12-03T09:45:44.795Z,0.25,0.34,0.46,0.15
15.228.28.214,15,27,123,2023-12-02T09:45:44.795Z,0.14,0.41,0.72,0.52
79.222.124.27,27,88,124,2023-12-01T09:45:44.795Z,0.19,0.06,0.95,0.36
174.162.140.39,86,8,125,2023-11-30T09:45:44.795Z,0.79,0.61,0.37,0.45
142.91.83.61,93,38,126,2023-11-29T09:45:44.795Z,0.99,0.32,0.41,0.83
149.148.199.138,81,79,127,2023-11-28T09:45:44.795Z,0.77,0.09,0.08,0.56
174.162.140.39,85,20,128,2023-11-27T09:45:44.795Z,0.23,0.54,0.20,0.38
46.192.108.207,23,76,129,2023-11-26T09:45:44.795Z,0.23,0.11,0.47,0.43
63.41.211.179,44,65,130,2023-11-25T09:45:44.795Z,0.90,0.70,0.33,0.76
53.67.115.251,79,9,131,2023-11-24T09:45:44.795Z,0.79,0.35,0.97,0.78
227.57.102.88,5,60,132,2023-11-23T09:45:44.795Z,0.10,0.94,0.67,0.84
227.57.102.88,42,36,133,2023-11-22T09:45:44.795Z,0.43,0.04,0.26,0.50
141.149.26.183,25,28,134,2023-11-21T09:45:44.795Z,0.52,0.07,0.67,0.87
143.62.57.8,5,97,135,2023-11-20T09:45:44.795Z,0.54,0.64,0.84,0.66
184.0.155.18,74,29,136,2023-11-19T09:45:44.795Z,0.88,0.01,0.75,0.01
42.153.83.69,21,56,137,2023-11-18T09:45:44.795Z,0.36,0.74,0.11,0.31
46.143.177.229,60,67,138,2023-11-17T09:45:44.795Z,0.43,0.07,0.18,0.77
15.192.123.244,83,57,139,2023-11-16T09:45:44.795Z,0.03,0.29,0.62,0.88
185.165.74.188,7,78,140,2023-11-15T09:45:44.795Z,0.72,0.58,0.71,0.92
223.206.84.5,28,92,141,2023-11-14T09:45:44.795Z,0.22,0.66,0.40,0.63
234.100.119.235,69,32,142,2023-11-13T09:45:44.795Z,0.57,0.06,0.72,0.59
211.28.18.54,68,53,143,2023-11-12T09:45:44.795Z,0.54,0.72,0.74,0.19
123.146.234.160,73,10,144,2023-11-11T09:45:44.795Z,0.85,0.66,0.44,0.35
74.156.128.157,47,23,145,2023-11-10T09:45:44.795Z,0.02,0.77,0.26,0.98
173.152.24.118,68,98,146,2023-11-09T09:45:44.795Z,0.20,0.36,0.46,0.04
20.188.119.58,80,17,147,2023-11-08T09:45:44.795Z,0.55,0.42,0.84,0.31
141.149.26.183,88,22,148,2023-11-07T09:45:44.795Z,0.27,0.99,0.76,0.82
121.20.106.23,35,31,149,2023-11-06T09:45:44.795Z,0.94,0.69,0.35,0.28
225.153.15.120,22,39,150,2023-11-05T09:45:44.795Z,0.35,0.94,0.61,0.36
91.210.129.73,38,50,151,2023-11-04T09:45:44.795Z,0.41,0.79,0.53,0.26
69.53.100.11,38,30,152,2023-11-03T09:45:44.795Z,1.00,0.70,0.44,0.86
10.251.133.48,47,19,153,2023-11-02T09:45:44.795Z,0.60,0.27,0.87,0.56
46.192.108.207,60,62,154,2023-11-01T09:45:44.795Z,0.46,0.05,0.29,0.36
14.207.162.79,38,31,155,2023-10-31T09:45:44.795Z,0.25,0.91,0.17,0.39
19.188.91.108,27,45,156,2023-10-30T09:45:44.795Z,0.65,0.43,0.52,0.46
98.210.78.214,17,86,157,2023-10-29T09:45:44.795Z,0.46,0.75,0.61,0.65
7.156.108.186,61,98,158,2023-10-28T09:45:44.795Z,0.21,0.00,0.20,0.38
138.124.233.7,47,90,159,2023-10-27T09:45:44.795Z,0.49,0.31,0.92,0.66
20.60.218.69,14,73,160,2023-10-26T09:45:44.795Z,0.77,0.02,0.65,0.96
234.228.32.255,32,59,161,2023-10-25T09:45:44.795Z,0.74,0.71,0.10,0.86
173.152.24.118,51,26,162,2023-10-24T09:45:44.795Z,0.05,0.11,0.10,0.42
6.140.27.40,3,82,163,2023-10-23T09:45:44.795Z,0.49,0.20,0.72,0.23
184.0.155.18,56,20,164,2023-10-22T09:45:44.795Z,0.76,0.34,0.32,0.23
238.22.198.167,87,24,165,2023-10-21T09:45:44.795Z,0.11,0.29,0.40,0.05
215.127.155.123,31,24,166,2023-10-20T09:45:44.795Z,0.69,0.57,0.26,0.62
232.194.60.154,88,83,167,2023-10-19T09:45:44.795Z,0.63,0.16,0.55,0.82
98.210.78.214,94,5,168,2023-10-18T09:45:44.795Z,0.82,0.92,0.54,0.59
33.58.197.125,12,25,169,2023-10-17T09:45:44.795Z,0.96,0.64,0.27,0.36
86.232.7.132,52,18,170,2023-10-16T09:45:44.795Z,0.15,0.24,0.93,0.11
249.113.7.153,21,53,171,2023-10-15T09:45:44.795Z,0.84,0.34,0.39,0.49
170.133.84.102,88,70,172,2023-10-14T09:45:44.795Z,0.52,0.21,0.85,0.86
15.228.28.214,81,13,173,2023-10-13T09:45:44.795Z,0.32,0.81,0.24,0.71
109.66.22.49,26,90,174,2023-10-12T09:45:44.795Z,0.96,0.25,0.04,0.75
10.251.133.48,22,10,175,2023-10-11T09:45:44.795Z,0.72,0.19,0.52,0.78
6.140.27.40,32,35,176,2023-10-10T09:45:44.795Z,0.90,0.66,0.86,0.76
149.148.199.138,50,67,177,2023-10-09T09:45:44.795Z,0.60,0.27,0.65,0.80
20.188.119.58,49,92,178,2023-10-08T09:45:44.795Z,0.83,0.08,0.49,0.65
98.210.78.214,20,62,179,2023-10-07T09:45:44.795Z,0.79,0.38,0.30,0.41
152.105.153.190,2,76,180,2023-10-06T09:45:44.795Z,0.32,0.49,0.58,0.77
128.168.216.93,3,52,181,2023-10-05T09:45:44.795Z,0.23,0.75,0.14,0.74
123.146.234.160,23,36,182,2023-10-04T09:45:44.795Z,0.90,0.11,0.39,0.95
251.56.78.195,45,89,183,2023-10-03T09:45:44.795Z,0.66,0.04,0.72,0.15
146.143.200.41,4,92,184,2023-10-02T09:45:44.795Z,0.06,0.60,0.97,0.51
183.215.195.124,11,91,185,2023-10-01T09:45:44.795Z,0.73,0.28,0.66,0.94
251.56.78.195,28,49,186,2023-09-30T09:45:44.795Z,0.36,0.74,0.60,0.29
249.113.7.153,44,15,187,2023-09-29T09:45:44.795Z,0.33,0.99,0.70,0.26
14.207.162.79,2,1,188,2023-09-28T09:45:44.795Z,0.34,0.38,0.18,0.39
6.140.27.40,82,13,189,2023-09-27T09:45:44.795Z,0.49,0.06,0.86,0.80
109.66.22.49,39,66,190,2023-09-26T09:45:44.795Z,0.19,0.27,0.99,0.63
69.53.100.11,28,90,191,2023-09-25T09:45:44.795Z,0.07,0.47,0.60,0.75
11.15.29.81,44,37,192,2023-09-24T09:45:44.795Z,0.15,0.99,0.64,0.96
15.192.123.244,41,93,193,2023-09-23T09:45:44.795Z,0.25,0.03,0.55,0.31
139.61.218.43,98,65,194,2023-09-22T09:45:44.795Z,0.49,1.00,0.08,0.41
64.93.160.244,98,21,195,2023-09-21T09:45:44.795Z,0.02,0.23,0.36,0.54
129.247.21.135,52,35,196,2023-09-20T09:45:44.795Z,0.65,0.13,0.48,0.82
227.1.158.125,44,94,197,2023-09-19T09:45:44.795Z,0.26,0.86,0.74,0.51
11.15.29.81,0,48,198,2023-09-18T09:45:44.795Z,0.17,0.61,0.13,0.66
232.194.60.154,24,24,199,2023-09-17T09:45:44.795Z,0.78,0.35,0.99,0.46
38.62.124.65,32,13,200,2023-09-16T09:45:44.795Z,0.31,0.55,0.51,0.25
109.66.22.49,95,62,201,2023-09-15T09:45:44.795Z,0.72,0.90,0.26,0.51
227.70.186.165,76,94,202,2023-09-14T09:45:44.795Z,0.68,0.58,0.10,0.46
142.91.83.61,92,37,203,2023-09-13T09:45:44.795Z,0.95,0.94,0.65,0.95
50.134.108.148,17,42,204,2023-09-12T09:45:44.795Z,0.33,0.19,0.49,0.41
53.67.115.251,4,63,205,2023-09-11T09:45:44.795Z,0.89,0.15,0.25,0.75
24.16.66.64,47,74,206,2023-09-10T09:45:44.795Z,0.65,0.82,0.19,0.39
7.156.108.186,34,59,207,2023-09-09T09:45:44.795Z,0.27,0.12,0.00,0.67
238.22.198.167,77,26,208,2023-09-08T09:45:44.795Z,0.05,0.06,0.24,0.72
20.188.119.58,92,27,209,2023-09-07T09:45:44.795Z,0.83,0.56,0.32,0.32
232.194.60.154,56,3,210,2023-09-06T09:45:44.795Z,0.42,0.28,0.34,0.34
89.227.13.82,36,15,211,2023-09-05T09:45:44.795Z,0.04,0.75,0.13,0.11
174.162.140.39,42,18,212,2023-09-04T09:45:44.795Z,0.55,0.88,0.08,0.20
54.16.254.46,7,19,213,2023-09-03T09:45:44.795Z,0.60,0.35,0.22,0.77
146.143.200.41,97,68,214,2023-09-02T09:45:44.795Z,0.73,0.64,0.45,0.29
86.160.54.227,17,90,215,2023-09-01T09:45:44.795Z,0.08,0.95,0.55,0.93
229.146.54.0,78,30,216,2023-08-31T09:45:44.795Z,0.54,0.74,0.15,1.00
86.160.54.227,25,81,217,2023-08-30T09:45:44.795Z,0.23,0.28,0.41,0.34
85.166.215.239,29,73,218,2023-08-29T09:45:44.795Z,0.07,0.88,0.95,0.36
143.62.57.8,83,43,219,2023-08-28T09:45:44.795Z,0.60,0.43,0.86,0.92
113.29.33.83,50,55,220,2023-08-27T09:45:44.795Z,0.66,0.30,0.54,0.42
167.94.235.99,65,60,221,2023-08-26T09:45:44.795Z,0.58,0.27,0.90,0.48
92.174.228.133,13,35,222,2023-08-25T09:45:44.795Z,0.99,0.95,0.82,0.57
91.210.129.73,75,88,223,2023-08-24T09:45:44.795Z,0.29,0.01,0.55,0.05
45.190.85.150,8,19,224,2023-08-23T09:45:44.795Z,0.67,0.28,0.40,0.49
138.124.233.7,6,32,225,2023-08-22T09:45:44.795Z,0.27,0.91,0.01,0.14
128.168.216.93,25,27,226,2023-08-21T09:45:44.795Z,0.13,0.16,0.42,0.51
127.176.55.112,8,76,227,2023-08-20T09:45:44.795Z,0.61,0.91,0.30,0.83
10.251.133.48,67,31,228,2023-08-19T09:45:44.795Z,0.58,0.91,0.22,0.23
11.15.29.81,23,89,229,2023-08-18T09:45:44.795Z,0.35,0.24,0.22,0.36
69.53.100.11,78,6,230,2023-08-17T09:45:44.795Z,0.43,0.78,0.17,0.75
32.94.39.151,47,14,231,2023-08-16T09:45:44.795Z,0.05,0.19,0.56,0.51
152.105.153.190,29,85,232,2023-08-15T09:45:44.795Z,0.25,0.10,0.52,0.91
53.232.76.62,1,13,233,2023-08-14T09:45:44.795Z,0.07,0.05,0.81,0.73
14.207.162.79,24,21,234,2023-08-13T09:45:44.795Z,0.92,0.17,0.85,0.08
253.134.241.198,42,60,235,2023-08-12T09:45:44.795Z,0.75,0.02,0.20,0.84
225.153.15.120,26,26,236,2023-08-11T09:45:44.795Z,0.94,0.86,0.38,0.77
201.2.155.78,96,3,237,2023-08-10T09:45:44.795Z,0.39,0.09,0.28,0.37
42.153.83.69,54,52,238,2023-08-09T09:45:44.795Z,0.58,0.08,0.55,0.27
86.232.7.132,42,46,239,2023-08-08T09:45:44.795Z,0.35,0.70,0.94,0.68
98.210.78.214,43,27,240,2023-08-07T09:45:44.795Z,0.08,0.59,0.74,0.60
127.176.55.112,18,96,241,2023-08-06T09:45:44.795Z,0.79,0.19,0.82,0.85
185.165.74.188,85,63,242,2023-08-05T09:45:44.795Z,0.90,0.28,0.24,0.42
92.174.228.133,14,30,243,2023-08-04T09:45:44.795Z,0.18,0.42,0.15,0.59
183.215.195.124,72,18,244,2023-08-03T09:45:44.795Z,0.96,0.34,0.65,0.41
128.168.216.93,74,5,245,2023-08-02T09:45:44.795Z,0.43,0.72,0.16,0.39
147.141.86.246,63,22,246,2023-08-01T09:45:44.795Z,0.67,0.11,0.68,0.49
167.8.102.41,74,41,247,2023-07-31T09:45:44.795Z,0.07,0.52,0.15,0.09
234.228.32.255,0,91,248,2023-07-30T09:45:44.795Z,0.07,0.11,0.84,0.96
11.15.29.81,10,92,249,2023-07-29T09:45:44.795Z,0.62,0.41,0.54,0.08
79.222.124.27,27,43,250,2023-07-28T09:45:44.795Z,0.77,0.77,0.36,0.07
167.94.235.99,41,46,251,2023-07-27T09:45:44.795Z,0.92,0.92,0.46,0.77
15.110.53.91,46,79,252,2023-07-26T09:45:44.795Z,0.02,0.89,0.99,0.33
108.29.11.54,38,9,253,2023-07-25T09:45:44.795Z,0.65,0.06,0.78,0.44
3.49.223.141,99,59,254,2023-07-24T09:45:44.795Z,0.23,0.81,0.26,0.17
129.247.21.135,22,32,255,2023-07-23T09:45:44.795Z,0.80,0.10,0.00,0.49
248.113.69.76,91,33,256,2023-07-22T09:45:44.795Z,0.91,0.92,0.34,0.06
53.67.115.251,6,79,257,2023-07-21T09:45:44.795Z,0.74,0.52,0.87,0.18
232.194.60.154,68,84,258,2023-07-20T09:45:44.795Z,0.28,0.23,0.33,0.98
14.207.162.79,3,29,259,2023-07-19T09:45:44.795Z,0.54,0.89,0.89,0.60
109.129.73.59,28,12,260,2023-07-18T09:45:44.795Z,0.98,0.48,0.22,0.60
238.234.36.127,20,65,261,2023-07-17T09:45:44.795Z,0.93,0.05,0.57,0.09
46.143.177.229,14,89,262,2023-07-16T09:45:44.795Z,0.04,0.98,0.43,0.40
173.152.24.118,53,96,263,2023-07-15T09:45:44.795Z,0.76,0.44,0.34,0.73
15.192.123.244,69,1,264,2023-07-14T09:45:44.795Z,0.89,0.32,0.29,0.11
227.188.156.46,39,65,265,2023-07-13T09:45:44.795Z,0.50,0.25,0.64,0.24
167.94.235.99,80,80,266,2023-07-12T09:45:44.795Z,0.88,0.35,0.81,0.30
179.75.85.18,33,43,267,2023-07-11T09:45:44.795Z,0.77,0.95,0.15,0.03
86.232.7.132,76,30,268,2023-07-10T09:45:44.795Z,0.61,0.02,0.87,0.40
239.19.32.122,70,17,269,2023-07-09T09:45:44.795Z,0.95,0.12,0.41,0.75
179.75.85.18,39,44,270,2023-07-08T09:45:44.795Z,0.59,0.20,0.84,0.29
20.188.119.58,40,39,271,2023-07-07T09:45:44.795Z,0.76,0.38,0.56,0.88
201.2.155.78,73,35,272,2023-07-06T09:45:44.795Z,0.33,0.76,0.41,0.98
195.245.185.229,86,66,273,2023-07-05T09:45:44.795Z,0.32,0.05,0.84,0.89
143.62.57.8,82,2,274,2023-07-04T09:45:44.795Z,0.66,0.07,0.62,0.24
141.149.26.183,23,24,275,2023-07-03T09:45:44.795Z,0.00,0.17,0.22,0.44
247.59.218.3,87,8,276,2023-07-02T09:45:44.795Z,0.71,0.53,0.88,0.65
195.245.185.229,96,37,277,2023-07-01T09:45:44.795Z,0.71,0.08,0.28,0.93
79.222.124.27,85,85,278,2023-06-30T09:45:44.795Z,0.00,1.00,0.71,0.37
249.113.7.153,78,51,279,2023-06-29T09:45:44.795Z,0.02,0.62,0.01,0.51
239.19.32.122,43,75,280,2023-06-28T09:45:44.795Z,0.45,0.22,0.35,0.08
50.134.108.148,48,0,281,2023-06-27T09:45:44.795Z,0.34,0.29,0.22,0.85
179.75.85.18,46,4,282,2023-06-26T09:45:44.795Z,0.67,0.94,0.94,0.81
15.228.28.214,44,20,283,2023-06-25T09:45:44.795Z,0.24,0.80,0.85,0.22
173.152.24.118,16,18,284,2023-06-24T09:45:44.795Z,0.51,0.70,0.82,0.94
109.66.22.49,64,43,285,2023-06-23T09:45:44.795Z,0.41,0.99,0.18,0.32
15.228.28.214,33,71,286,2023-06-22T09:45:44.795Z,0.37,0.24,0.42,0.05
184.0.155.18,79,3,287,2023-06-21T09:45:44.795Z,0.77,0.40,0.86,0.35
32.94.39.151,44,85,288,2023-06-20T09:45:44.795Z,0.07,0.39,0.97,0.79
128.168.216.93,66,31,289,2023-06-19T09:45:44.795Z,0.34,0.72,0.03,0.28
104.168.160.188,85,79,290,2023-06-18T09:45:44.795Z,0.01,0.86,0.44,0.87
2.197.232.44,27,98,291,2023-06-17T09:45:44.795Z,0.46,0.41,0.92,0.71
104.168.160.188,62,61,292,2023-06-16T09:45:44.795Z,0.17,0.97,0.19,0.45
53.67.115.251,21,67,293,2023-06-15T09:45:44.795Z,0.38,0.14,0.36,0.23
79.222.124.27,38,24,294,2023-06-14T09:45:44.795Z,0.56,0.33,0.10,0.53
45.190.85.150,87,91,295,2023-06-13T09:45:44.795Z,0.91,0.76,0.58,0.81
